id,title,description,publishedAt,thumbnails,viewCount,subscriberCount,hiddenSubscriberCount,videoCount,commentCount
UCZf__ehlCEBPop___sldpBUQ,HikakinTV,"HikakinTVはヒカキンが日常の面白いものを紹介するチャンネルです。

◆プロフィール◆
YouTubeにてHIKAKIN、HikakinTV、HikakinGames、HikakinBlogと
４つのチャンネルを運営し、動画の総アクセス数は72億回を突破、
チャンネル登録者数は計1080万人以上、月間アクセス２億回達成。
YouTubeタレント事務所uuum株式会社ファウンダー兼最高顧問。",2011-07-19T11:31:43.000Z,https://yt3.ggpht.com/-NFhw6-eus8Y/AAAAAAAAAAI/AAAAAAAAAAA/rtPbnb9gvAQ/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,4862671898,6173850,False,2467,0
UCgMPP6RRjktV7krOfyUewqw,はじめしゃちょー（hajime）,"動画を出したい時にテキトーにアップロードします。
オールジャンル!!!!なんでもしたいこと動画にしてます!!!
チャンネル登録してくれると喜びます！

Hello! My name is Hajime! 
I`m not a president.


こんにちは!はじめしゃちょーです。

Please Subscribe!!!!!",2012-08-31T04:19:50.000Z,https://yt3.ggpht.com/-zuf1TvgF3Ik/AAAAAAAAAAI/AAAAAAAAAAA/EUhlIZ4G9wc/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,5109135195,6439601,False,1661,0
UCg4nOl7_gtStrLwF0_xoV0A,SeikinTV,"SEIKIN（セイキン）／ YouTuber（ユーチューバー）
YouTuber プロダクションUUUM（ウーム）専属クリエイター
SeikinTV、SeikinGamesを運営。
メインチャンネルSeikinTVでは歌、面白商品の紹介、様々なことに挑戦する「やってみた」、ゲーム実況などジャンルにとらわれない幅広い内容の動画で人気を集めている。
また、自身が作詞作曲を手がけ、実の弟HIKAKINのメインチャンネルHikakinTVで公開した「YouTubeテーマソング」は再生回数56,000,000回を超える。
2015年に自身初となるソロシングル「Just Do It Now」をリリースし、iTunes Music Storeエレクトロニックアルバムチャート1位、総合アルバムチャート5位を獲得。
2016年にリリースしたセカンドシングル「Keep Your Head Up」は、iTunes Music Storeエレクトロニックシングル・アルバムチャート共に1位、総合アルバムチャートでも4位を獲得し、YouTubeにおける公式MVは再生回数20,000,000回を突破。
2017年10月、2015年に発表した「YouTubeテーマソング」以来、2年ぶりとなるヒカキン&セイキンの新曲「雑草」をリリース。
この楽曲が iTunes Music Store 総合チャート1位を獲得。
年末に開催されたミュージックステーションスーパーライブ2017にYouTuberとして初登場を果たし大きな話題となった。





▼共演実績
コブクロ様 ／ シェネル様 ／ 加山雄三様 ／ Tiësto様 ／ 小室哲哉様　など

チャンネル登録よろしくお願いします！



Welcome to SeikinTV!
My name is SEIKIN from Japan.
Please SUBSCRIBE！",2012-01-29T16:53:15.000Z,https://yt3.ggpht.com/-TpVHBaXKoW0/AAAAAAAAAAI/AAAAAAAAAAA/2iVh6KipJxs/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,2437647850,3132078,False,1535,0
UCFBjsYvwX7kWUjQoW7GcJ5A,瀬戸弘司 / Koji Seto,"こんにちは。劇団天然工房の瀬戸弘司です。 
役者として舞台に立ったり、脚本を書いたり、漫画を描いたりしています。 暇なときは、写真撮ったり、ウクレレ弾いたりしています。 ブログも書いています。

YouTubeでは主にガジェット系動画レビューを投稿しております。
たまに旅行に行ったりすると、旅先での動画を大量にアップロードしたりします。

よろしくどうぞー。

＜使用している動画編集ソフト＞
Adobe Premiere Pro CC
iOS版iMovie

＜今回の撮影機材＞
【カメラ】Canon EOS C100 Mark II

【カメラ】Canon EOS 70D

【レンズ】SIGMA 18-35mm F1.8 DC HSM

【レンズ】Canon EF8-15mm F4L フィッシュアイ USM

【カメラ】Panasonic DMC-GH4

【レンズ】OLYMPUS ED M.ZUIKO ED 12-40mm F2.8 PRO

【マイク】SONY ミュージックビデオレコーダー HDR-MV1

【カメラ】SONY サイバーショット RX100M3",2010-04-10T02:11:44.000Z,https://yt3.ggpht.com/-Ox6vE1qB9g4/AAAAAAAAAAI/AAAAAAAAAAA/cEeD_72Ior8/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,714179677,1449451,False,1796,0
UCzWygEC8zQKYpCp7nwX_M__A,PDSKabushikiGaisha,"本名・ペインダンテ将之介


20才のイギリスとアメリカと日本のハーフ

動画を毎日更新しています！

TVにもちょくちょく出てます！

将来はビックスターになるんで
今からファンになっても損はないです！

仕事・ビジネス・TV局　関係はこちらからでご連絡お願いします。他は受け付けておりません　　　　　　　↓",2011-01-06T23:32:56.000Z,https://yt3.ggpht.com/-aQrjxurrGL4/AAAAAAAAAAI/AAAAAAAAAAA/ZJ5celOfyoo/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,1012465601,1419278,False,2236,0
UCCUd6vfPvpPHBWZ6XwXAlRQ,MasuoTV,"Masuo
総チャンネル登録者数は75万人以上、
総アクセス数は2億5千万回を超える。
商品レビュー、簡単クッキング、ゲーム、日常の動画をお届けしてます。
近所にいるようなお兄さんが、
素直に何でもご紹介していきます。
あなたと一緒に遊んでくれる優しいお兄さんを目指します！
やってほしいことがあったら何でも教えてください(๑′ᴗ‵๑)",2012-08-08T16:28:54.000Z,https://yt3.ggpht.com/-a_HD8dZmMIo/AAAAAAAAAAI/AAAAAAAAAAA/dll3nMC7tZU/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,484704058,1068785,False,1917,0
UCFTVNLC7ysej__sD5lkLqNGA,Yuka Kinoshita木下ゆうか,"毎日１８時にアップします！（できるだけ）

こんにちは、木下ゆうかです！
食べる事が大好きで、大食いの動画をメインに投稿しています！

週１で晩ごはんライブはじめました！（日曜日 19時〜が多いです）
↑次回のライブは、Twitter 木下ゆうか Yuka Kinoshita ( @mochiko0204 )で  ＃木下ゆうかの晩ごはんライブ　つけてtweetしてます( ¨̮ )
たまーに私生活に関する動画やレビュー動画もアップしてます。

よろしくお願いします\(* ¨̮*)/\(*¨̮ *)/

お手紙などは
〒106-6137 東京都港区六本木6-10-1
六本木ヒルズ森タワー37F（South）
木下ゆうか　宛でおねがいします😊

I upload videos daily @18:00 Tokyo time (as often as I can) 

Hello, my name is Kinoshita Yuka! 
I love to eat and OoGui (eating a lot) is my 
channel's main focus.
Once a week I have started to do an eating livestream 
(Mukbang) this usually starts every Sunday night @ around 19:00 Tokyo time 

You can follow me on my Twitter 木下ゆうか　Yuka Kinoshita ( @mochiko0204 ) 
also make sure to use the #木下ゆうか and I'll tweet it out
I look forward to your tweets

For letters and packages please send to 
106-6134 Tokyo Minato-ku Roppongi 6-10-1
Roppongi Hills Mori Tower 37F UUUM（South）
Attn: Kinoshita Yuka 木下ゆうか",2014-05-21T11:01:01.000Z,https://yt3.ggpht.com/-0O1uRj2d4vU/AAAAAAAAAAI/AAAAAAAAAAA/zgabc-9h6DA/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,1518311099,4422619,False,1412,0
UCVPz_nauEJpqPxxvYiOpCHQ,カズチャンネル/Kazu Channel,私が日常体験する事を中心に動画をアップ。私の体験をみんなで共有できたらなーと思ってます。,2010-06-04T09:00:08.000Z,https://yt3.ggpht.com/-jrN9eaN8f10/AAAAAAAAAAI/AAAAAAAAAAA/9EzFUth5HHA/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,568714855,1449807,False,1810,0
UC6YD__hqIJ1UIOcVyQ07HGAw,TOMIKKU NET,"毎日21時にネタ・料理などやりたいことをやりこなすキングオブビューティー！！

この個性であなたを虜にしちゃうぞ♡

面白ければチャンネル登録・高評価してね♡

SNSでの拡散もあればとても嬉しいです",2011-04-10T03:50:01.000Z,https://yt3.ggpht.com/-n07cswTBFPQ/AAAAAAAAAAI/AAAAAAAAAAA/5PxVjZIg8jQ/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,714365477,1353118,False,1278,0
UC6wKgAlOeFNqmXV167KERhQ,JETDAISUKE,"JETDAISUKE's Hands-on Review Show

ジェットダイスケこと愛場大介による、製品レビューや体験動画などが中心です。
面白い製品をお持ちの企業の方、ぜひ情報をお知らせくださいませ。

このYouTubeチャンネルの動画は、私の個人ブログ
http://heeboo.blogspot.jp/
http://gajetdaisuke.com/
にて本文中に使用する動画コンテンツもあわせて投稿しております。ブログのほうも合わせてお読みいただければ幸いです。

twitterの方にもブログのフィードをポストしておりますので
http://bit.ly/kdFu1F
そちらの方をフォローすることでも最新記事を読むことができます。

インスタグラムはこちら！ぜひ登録してくださいね( ^ω^ )
https://www.instagram.com/jetdaisuke/

facebookページはこちらです。
http://www.facebook.com/pages/jetdaisuke/238431611840
友達しか友達登録しないので、フォローしていただけるほうがありがたいです m(_ _)m

ご投票いただいた皆さんのおかげで、アルファブロガーアワード2009も受賞できました。
http://youtu.be/SKiodm4ddaE
ありがとうございました。",2006-02-27T17:31:41.000Z,https://yt3.ggpht.com/-kaSqLvpacGM/AAAAAAAAAAI/AAAAAAAAAAA/54nESSje9Os/s88-c-k-no-mo-rj-c0xffffff/photo.jpg,208376622,235108,False,3233,0
